focus_node,depth,reference_chain,alternate_reference_chains,leaf_path,component,value,message,kind,repair_hint
ex:p063,0,,,ex:name,sh:MinCountConstraintComponent,,Name is required,direct,Add at least one ex:name value to ex:p063.
ex:p025,0,,,ex:name,sh:MinCountConstraintComponent,,Name is required,direct,Add at least one ex:name value to ex:p025.
ex:p034,0,,,ex:name,sh:MinCountConstraintComponent,,Name is required,direct,Add at least one ex:name value to ex:p034.
ex:p029,0,,,ex:name,sh:MinCountConstraintComponent,,Name is required,direct,Add at least one ex:name value to ex:p029.
ex:p074,0,,,ex:name,sh:MinCountConstraintComponent,,Name is required,direct,Add at least one ex:name value to ex:p074.
ex:p090,0,,,ex:name,sh:MinCountConstraintComponent,,Name is required,direct,Add at least one ex:name value to ex:p090.
ex:p093,0,,,ex:name,sh:MinCountConstraintComponent,,Name is required,direct,Add at least one ex:name value to ex:p093.
ex:p076,0,,,ex:name,sh:MinCountConstraintComponent,,Name is required,direct,Add at least one ex:name value to ex:p076.
ex:p048,0,,,ex:name,sh:MinCountConstraintComponent,,Name is required,direct,Add at least one ex:name value to ex:p048.
ex:p083,0,,,ex:name,sh:MinCountConstraintComponent,,Name is required,direct,Add at least one ex:name value to ex:p083.
ex:p092,0,,,ex:name,sh:MinCountConstraintComponent,,Name is required,direct,Add at least one ex:name value to ex:p092.
ex:p087,0,,,ex:name,sh:MinCountConstraintComponent,,Name is required,direct,Add at least one ex:name value to ex:p087.
ex:p086,0,,,ex:name,sh:MinCountConstraintComponent,,Name is required,direct,Add at least one ex:name value to ex:p086.
ex:p080,0,,,ex:name,sh:MinCountConstraintComponent,,Name is required,direct,Add at least one ex:name value to ex:p080.
ex:p070,0,,,ex:name,sh:MinCountConstraintComponent,,Name is required,direct,Add at least one ex:name value to ex:p070.
ex:p079,0,,,ex:name,sh:MinCountConstraintComponent,,Name is required,direct,Add at least one ex:name value to ex:p079.
ex:p002,0,,,ex:name,sh:MinCountConstraintComponent,,Name is required,direct,Add at least one ex:name value to ex:p002.
ex:p041,0,,,ex:name,sh:MinCountConstraintComponent,,Name is required,direct,Add at least one ex:name value to ex:p041.
ex:p020,0,,,ex:name,sh:MinCountConstraintComponent,,Name is required,direct,Add at least one ex:name value to ex:p020.
ex:p095,0,,,ex:name,sh:MinCountConstraintComponent,,Name is required,direct,Add at least one ex:name value to ex:p095.
ex:p018,0,,,ex:name,sh:MinCountConstraintComponent,,Name is required,direct,Add at least one ex:name value to ex:p018.
ex:p060,0,,,ex:name,sh:MinCountConstraintComponent,,Name is required,direct,Add at least one ex:name value to ex:p060.
ex:p082,0,,,ex:name,sh:MinCountConstraintComponent,,Name is required,direct,Add at least one ex:name value to ex:p082.
ex:p011,0,,,ex:name,sh:MinCountConstraintComponent,,Name is required,direct,Add at least one ex:name value to ex:p011.
ex:p043,0,,,ex:name,sh:MinCountConstraintComponent,,Name is required,direct,Add at least one ex:name value to ex:p043.
ex:p013,0,,,ex:name,sh:MinCountConstraintComponent,,Name is required,direct,Add at least one ex:name value to ex:p013.
ex:p071,0,,,ex:name,sh:MinCountConstraintComponent,,Name is required,direct,Add at least one ex:name value to ex:p071.
ex:p007,0,,,ex:name,sh:MinCountConstraintComponent,,Name is required,direct,Add at least one ex:name value to ex:p007.
ex:p042,0,,,ex:name,sh:MinCountConstraintComponent,,Name is required,direct,Add at least one ex:name value to ex:p042.
ex:p056,0,,,ex:name,sh:MinCountConstraintComponent,,Name is required,direct,Add at least one ex:name value to ex:p056.
ex:p058,0,,,ex:name,sh:MinCountConstraintComponent,,Name is required,direct,Add at least one ex:name value to ex:p058.
ex:p030,0,,,ex:name,sh:MinCountConstraintComponent,,Name is required,direct,Add at least one ex:name value to ex:p030.
ex:p028,0,,,ex:name,sh:MinCountConstraintComponent,,Name is required,direct,Add at least one ex:name value to ex:p028.
ex:p031,0,,,ex:name,sh:MinCountConstraintComponent,,Name is required,direct,Add at least one ex:name value to ex:p031.
ex:p061,0,,,ex:name,sh:MinCountConstraintComponent,,Name is required,direct,Add at least one ex:name value to ex:p061.
ex:p081,0,,,ex:name,sh:MinCountConstraintComponent,,Name is required,direct,Add at least one ex:name value to ex:p081.
ex:p066,0,,,ex:name,sh:MinCountConstraintComponent,,Name is required,direct,Add at least one ex:name value to ex:p066.
ex:p035,0,,,ex:name,sh:MinCountConstraintComponent,,Name is required,direct,Add at least one ex:name value to ex:p035.
ex:p051,0,,,ex:name,sh:MinCountConstraintComponent,,Name is required,direct,Add at least one ex:name value to ex:p051.
ex:p005,0,,,ex:name,sh:MinCountConstraintComponent,,Name is required,direct,Add at least one ex:name value to ex:p005.
ex:p033,0,,,ex:name,sh:MinCountConstraintComponent,,Name is required,direct,Add at least one ex:name value to ex:p033.
ex:p045,0,,,ex:name,sh:MinCountConstraintComponent,,Name is required,direct,Add at least one ex:name value to ex:p045.
ex:p067,0,,,ex:name,sh:MinCountConstraintComponent,,Name is required,direct,Add at least one ex:name value to ex:p067.
ex:p010,0,,,ex:name,sh:MinCountConstraintComponent,,Name is required,direct,Add at least one ex:name value to ex:p010.
ex:p064,0,,,ex:name,sh:MinCountConstraintComponent,,Name is required,direct,Add at least one ex:name value to ex:p064.
ex:p012,0,,,ex:name,sh:MinCountConstraintComponent,,Name is required,direct,Add at least one ex:name value to ex:p012.
ex:p017,0,,,ex:name,sh:MinCountConstraintComponent,,Name is required,direct,Add at least one ex:name value to ex:p017.
ex:p003,0,,,ex:name,sh:MinCountConstraintComponent,,Name is required,direct,Add at least one ex:name value to ex:p003.
ex:p098,0,,,ex:name,sh:MinCountConstraintComponent,,Name is required,direct,Add at least one ex:name value to ex:p098.
ex:p088,0,,,ex:name,sh:MinCountConstraintComponent,,Name is required,direct,Add at least one ex:name value to ex:p088.
ex:p097,0,,,ex:name,sh:MinCountConstraintComponent,,Name is required,direct,Add at least one ex:name value to ex:p097.
ex:p037,0,,,ex:name,sh:MinCountConstraintComponent,,Name is required,direct,Add at least one ex:name value to ex:p037.
ex:p052,0,,,ex:name,sh:MinCountConstraintComponent,,Name is required,direct,Add at least one ex:name value to ex:p052.
ex:p072,0,,,ex:name,sh:MinCountConstraintComponent,,Name is required,direct,Add at least one ex:name value to ex:p072.
ex:p015,0,,,ex:name,sh:MinCountConstraintComponent,,Name is required,direct,Add at least one ex:name value to ex:p015.
ex:p032,0,,,ex:name,sh:MinCountConstraintComponent,,Name is required,direct,Add at least one ex:name value to ex:p032.
ex:p094,0,,,ex:name,sh:MinCountConstraintComponent,,Name is required,direct,Add at least one ex:name value to ex:p094.
